tag,date,cnt
flavor15,2015-01-01,2
flavor8,2015-01-01,1
flavor3,2015-01-01,0
flavor2,2015-01-01,0
flavor5,2015-01-01,0
flavor4,2015-01-01,0
flavor1,2015-01-01,0
flavor7,2015-01-01,0
flavor10,2015-01-01,0
flavor6,2015-01-01,0
flavor9,2015-01-01,0
flavor12,2015-01-01,0
flavor11,2015-01-01,0
flavor14,2015-01-01,0
flavor13,2015-01-01,0
flavor2,2015-01-02,1
flavor15,2015-01-02,2
flavor8,2015-01-02,1
flavor3,2015-01-02,0
flavor5,2015-01-02,0
flavor4,2015-01-02,0
flavor1,2015-01-02,0
flavor7,2015-01-02,0
flavor10,2015-01-02,0
flavor6,2015-01-02,0
flavor9,2015-01-02,0
flavor12,2015-01-02,0
flavor11,2015-01-02,0
flavor14,2015-01-02,0
flavor13,2015-01-02,0
flavor15,2015-01-03,1
flavor6,2015-01-03,1
flavor12,2015-01-03,3
flavor3,2015-01-03,0
flavor2,2015-01-03,0
flavor5,2015-01-03,0
flavor4,2015-01-03,0
flavor1,2015-01-03,0
flavor7,2015-01-03,0
flavor10,2015-01-03,0
flavor9,2015-01-03,0
flavor8,2015-01-03,0
flavor11,2015-01-03,0
flavor14,2015-01-03,0
flavor13,2015-01-03,0
flavor3,2015-01-04,0
flavor2,2015-01-04,0
flavor5,2015-01-04,0
flavor4,2015-01-04,0
flavor1,2015-01-04,0
flavor7,2015-01-04,0
flavor10,2015-01-04,0
flavor6,2015-01-04,0
flavor9,2015-01-04,0
flavor12,2015-01-04,0
flavor8,2015-01-04,0
flavor11,2015-01-04,0
flavor14,2015-01-04,0
flavor13,2015-01-04,0
flavor15,2015-01-04,0
flavor8,2015-01-05,1
flavor3,2015-01-05,0
flavor2,2015-01-05,0
flavor5,2015-01-05,0
flavor4,2015-01-05,0
flavor1,2015-01-05,0
flavor7,2015-01-05,0
flavor10,2015-01-05,0
flavor6,2015-01-05,0
flavor9,2015-01-05,0
flavor12,2015-01-05,0
flavor11,2015-01-05,0
flavor14,2015-01-05,0
flavor13,2015-01-05,0
flavor15,2015-01-05,0
flavor17,2015-01-06,1
flavor6,2015-01-06,1
flavor9,2015-01-06,1
flavor11,2015-01-06,4
flavor3,2015-01-06,0
flavor2,2015-01-06,0
flavor5,2015-01-06,0
flavor4,2015-01-06,0
flavor1,2015-01-06,0
flavor7,2015-01-06,0
flavor10,2015-01-06,0
flavor12,2015-01-06,0
flavor8,2015-01-06,0
flavor14,2015-01-06,0
flavor13,2015-01-06,0
flavor15,2015-01-06,0
flavor15,2015-01-07,1
flavor9,2015-01-07,1
flavor12,2015-01-07,5
flavor8,2015-01-07,1
flavor3,2015-01-07,0
flavor2,2015-01-07,0
flavor5,2015-01-07,0
flavor4,2015-01-07,0
flavor1,2015-01-07,0
flavor7,2015-01-07,0
flavor10,2015-01-07,0
flavor6,2015-01-07,0
flavor11,2015-01-07,0
flavor14,2015-01-07,0
flavor13,2015-01-07,0
flavor9,2015-01-08,1
flavor8,2015-01-08,1
flavor3,2015-01-08,0
flavor2,2015-01-08,0
flavor5,2015-01-08,0
flavor4,2015-01-08,0
flavor1,2015-01-08,0
flavor7,2015-01-08,0
flavor10,2015-01-08,0
flavor6,2015-01-08,0
flavor12,2015-01-08,0
flavor11,2015-01-08,0
flavor14,2015-01-08,0
flavor13,2015-01-08,0
flavor15,2015-01-08,0
flavor14,2015-01-09,21
flavor12,2015-01-09,5
flavor23,2015-01-09,2
flavor11,2015-01-09,1
flavor3,2015-01-09,0
flavor2,2015-01-09,0
flavor5,2015-01-09,0
flavor4,2015-01-09,0
flavor1,2015-01-09,0
flavor7,2015-01-09,0
flavor10,2015-01-09,0
flavor6,2015-01-09,0
flavor9,2015-01-09,0
flavor8,2015-01-09,0
flavor13,2015-01-09,0
flavor15,2015-01-09,0
flavor3,2015-01-10,2
flavor11,2015-01-10,1
flavor2,2015-01-10,0
flavor5,2015-01-10,0
flavor4,2015-01-10,0
flavor1,2015-01-10,0
flavor7,2015-01-10,0
flavor10,2015-01-10,0
flavor6,2015-01-10,0
flavor9,2015-01-10,0
flavor12,2015-01-10,0
flavor8,2015-01-10,0
flavor14,2015-01-10,0
flavor13,2015-01-10,0
flavor15,2015-01-10,0
flavor3,2015-01-11,0
flavor2,2015-01-11,0
flavor5,2015-01-11,0
flavor4,2015-01-11,0
flavor1,2015-01-11,0
flavor7,2015-01-11,0
flavor10,2015-01-11,0
flavor6,2015-01-11,0
flavor9,2015-01-11,0
flavor12,2015-01-11,0
flavor8,2015-01-11,0
flavor11,2015-01-11,0
flavor14,2015-01-11,0
flavor13,2015-01-11,0
flavor15,2015-01-11,0
flavor3,2015-01-12,1
flavor4,2015-01-12,1
flavor21,2015-01-12,1
flavor9,2015-01-12,2
flavor2,2015-01-12,0
flavor5,2015-01-12,0
flavor1,2015-01-12,0
flavor7,2015-01-12,0
flavor10,2015-01-12,0
flavor6,2015-01-12,0
flavor12,2015-01-12,0
flavor8,2015-01-12,0
